pseudomonas_sp_root401	KQW30295
pseudomonas_fluorescens_gca_001307275	ALI10530
pseudomonas_sp__nfacc24_1	WP_092475399.1
pseudomonas_sp__nfacc37_1	WP_092164970.1
pseudomonas_sp__nfacc04_2	WP_072405401.1
pseudomonas_sp__nfacc15_1	WP_092200579.1
pseudomonas_sp__nfacc13_1	WP_092256805.1
pseudomonas_sp__nfacc14	WP_092200579.1
pseudomonas_fluorescens_gca_001468775	WP_058544867.1
pseudomonas_sp__pf153	WP_053150786.1
pseudomonas_sp__nfacc47_1	WP_072432098.1
pseudomonas_sp__nfacc43	WP_072432098.1
pseudomonas_sp__nfacc09_4	WP_072398815.1
pseudomonas_sp__nfacc49_2	WP_072432098.1
pseudomonas_sp__7sr1	WP_072398815.1
pseudomonas_sp__nfacc32_1	WP_072398815.1
pseudomonas_mediterranea	WP_047702825.1
pseudomonas_mediterranea_gca_001412185	WP_047702825.1
pseudomonas_mediterranea_gca_001412045	WP_047702825.1
pseudomonas_mediterranea_gca_900106005	WP_047702825.1
pseudomonas_mediterranea_gca_001412005	WP_047702825.1
pseudomonas_mediterranea_cfbp_5447	KGU82980
pseudomonas_corrugata_gca_001412195	WP_055135354.1
pseudomonas_corrugata	AOE60900
pseudomonas_corrugata_gca_900106085	WP_024779116.1
pseudomonas_corrugata_gca_001411965	WP_024779116.1
pseudomonas_corrugata_gca_001269905	WP_024779116.1
pseudomonas_corrugata_cfbp_5454	WP_024779116.1
pseudomonas_corrugata_gca_001412065	WP_055137612.1
